track_id,tempo,loudness,mode,artist_name,title,tag_name,weight,tag_desc
TRAAAYX128F4263BC0,179.677,-10.212,1,Chokebore,Popular Modern Themes,sad,100,sadcore
TRAACGS128F4248480,123.079,-5.281,1,Filthy Thieving Bastards,Dusty Roads,happy,100,happy happy joy joy
TRAAGAV128F4241242,125.484,-4.752,1,Ne Luumaet,Kesäloma on kesällä,happy,50,happy
TRAAGDT128E0791B20,113.12,-11.791,1,The Christians,In My Hour Of Need,happy,100,mudog-happy
TRAAHXF128F146D23E,93.588,-7.482,0,Of Montreal,Dustin Hoffman Becomes Indignant and Wets Himself (Album Version),happy,100,songs that make me happy
TRAAIUK12903CD7147,119.994,-10.358,0,Lillebjørn Nilsen,Victor Jara,sad,100,sadness
TRAAMSZ128F423DCB0,146.023,-8.578,0,Karunesh,Like A Cloud,relax,100,relax
TRAAQLF128F427822C,136.085,-13.475,1,Willie Nelson,Ole Buttermilk Sky,happy,100,Quiet and happy
TRAARZD128F92D4A44,123.057,-16.639,0,Jaromir Nohavica,Jeste mi schazis,sad,50,sad
TRAATFW128F14957A8,159.996,-9.648,0,Jimmy Buffett,Jamaica Mistaica,happy,50,happy
TRAATXI128F428228E,158.922,-14.605,0,Tommy Hools,Doricamente,relax,100,relaxing mood
TRAAVRB128F426E323,104.248,-9.864,1,Brick,Happy,happy,100,happy
TRAAVUT128F92F74F7,140.085,-9.625,1,Steps,I Know Him So Well,happy,100,happy pop
TRAAWVV12903CE827E,91.309,-5.306,1,Hit The Lights,On and On,happy,100,happy
TRAAZIE128F427961E,196.034,-7.928,1,Danny Wilson,The Second Summer Of Love,happy,66,get happy
TRABBPZ128F9309DB3,108.331,-9.73,0,Brett Anderson,Frozen Roads,sad,50,sad
TRABCKA128F42858F6,66.496,-5.336,0,IC 434,SSRI,happy,100,happy pills
TRABDRM128F92D94BB,115.673,-20.639,1,Peter Broderick,Games,relax,100,relaxing
TRABEJF128F930EAD8,124.467,-5.833,0,Until June,The Saddest Song,sad,50,sad
TRABMEM12903CB1A75,87.333,-9.328,1,Stars of Track and Field,Fantastic,sleep,50,Asleep at 11:11
TRABOWR128F14AEA7C,129.074,-7.405,1,The Rumble Strips,Sad City,happy,50,happy like mornings
TRABSJS128F933BD67,93.425,-8.72,1,Lara & The Gumbo Lickers,The tears I cried,happy,100,happy hardcore
TRABUML128F4214EBB,143.291,-14.891,0,Kitaro,Village Attack/ The Arrest,relax,100,relaxing
TRABXOR128F4281AC0,75.792,-9.416,1,Lavender Diamond,When You Wake For Certain,sleep,100,songs to fall asleep to
TRACAOS128F42300B8,100.893,-23.15,1,Dave Eggar,Wave,relax,100,Relaxing Instrumental
TRACAVB128F425F643,122.861,-22.221,0,David Lanz/Paul Speer,Reverie,relax,100,relaxing
TRACAXH128F931F3CF,108.914,-11.236,1,The Nelons,Hallelujah,happy,100,Happy Harvest Southern Gospel Music Fan Club
TRACFQQ128F425AFDC,113.065,-10.81,0,3rd Force,Vital Connection,relax,100,RelaxFM
TRACGCT128F42BA91B,94.685,-6.697,1,B.C. Camplight,Couldn't You Tell,sad,50,goodbye sadness
TRACHGE128F9330C03,173.143,-5.916,1,Milky Wimpshake,Sensible Shoes Blues,happy,100,happy
TRACHIN128F92EBACE,172.517,-14.199,1,Karunesh,And the Grass Grows By Itself,relax,72,relax
TRACMSK128F428FF9B,108.502,-7.889,0,Gareth Gates,19 Minutes,relax,100,good and a relax sound
TRACPKD128F14539CD,90.009,-6.475,1,Fort Minor (Featuring Mr. Hahn),Slip Out The Back (Album Version),happy,50,marutihappy
TRACRIA128F426DDE3,177.54,-22.898,0,Leo Kottke,Perforated Sleep,sleep,100,sleep and dreams
TRACRIA128F426DDE3,177.54,-22.898,0,Leo Kottke,Perforated Sleep,relax,100,relaxing guitar
TRACUCQ128F92FFBF7,119.903,-6.375,1,Sade,Smooth Operator,sad,55,Sade
TRACYQT128F931F4C0,101.2,-10.119,1,Emitt Rhodes,She's Such A Beauty,happy,100,happy
TRACZHF12903CFE89C,83.815,-13.418,1,Nicolas Repac,The End of a Love Affair (Billy in the Sky),sleep,100,sleepy
TRADBFO128E0787EFB,78.794,-8.189,0,Daniel Lemma,Cordelia,relax,50,relax
TRADDQD128F931CE40,77.004,-16.909,1,William Fitzsimmons,They'll Never Take The Good Years,sad,100,sadish thinking
TRADFHW128F92E34CF,86.011,-8.066,1,Antti Tuisku,Valo,relax,50,relax
TRADFQK128F422B492,131.078,-6.695,1,Casiotone For The Painfully Alone,Rice Dream Girl,sleep,50,sleepytime
TRADGQC128F424A8E5,108.496,-10.695,0,Kenny Larkin,One Moment Please,sad,50,sad
TRADINA128EF33FD9B,122.298,-18.108,0,Susana Zabaleta,Y Si La Historia,sad,100,sadness
TRADJAG128F93051C2,84.466,-19.826,1,2002,Kindred Spirit,relax,50,Relaxing Instrumental
TRADKYE128F42A0798,161.7,-5.587,1,Ours,Ran Away To Tell The World,sad,100,sad
TRADLBJ128F423A031,62.894,-13.163,0,Jason Mraz,The Dynamo Of Volition [From An All Night Session],relax,100,relaxing
TRADNFH128F4290604,125.012,-10.151,0,Tracey Thorn,Grand Canyon (Ada Remix),relax,100,relax
TRADOSF128F9338ADB,110.178,-7.683,0,Pedro Aznar,Stand,sad,50,gustavo sadofschi
TRADPSM128F92F5744,105.288,-13.11,1,Alternative TV,Nasty Little Lonely,sleep,100,SLEEPERS RADIO
TRADVCE12903CFB19B,94.065,-3.642,1,Bobby Fuller Four,Let Her Dance,sad,100,thrilling sadness
TRADXSZ12903CB185F,105.404,-6.305,1,Emil Bulls,I Don't Belong Here,sad,100,sad but wonderful
TRAEFTT128F1496B42,105.81,-12.208,1,Bob James,Heads,relax,100,RelaxFM
TRAEFVO128F9348BCF,190.08,-5.076,1,Panteon Rococo,De Luna A Sol,happy,50,happy
TRAEHEI128E07844B9,115.053,-6.989,1,The Get Up Kids,Never Be Alone,sad,50,sad songs
TRAEJAM12903CD8070,156.839,-6.583,1,Skip featuring Grand_ Lil Keke,Good Life,happy,100,Happy Day
TRAEKUN128E078B078,104.677,-6.991,0,Manhattan Transfer,Four Brothers (LP Version),sad,50,Sadner station
TRAELRF128F14952B0,106.304,-4.517,1,Seven Places,We're Almost There,happy,50,happy
TRAEQAG12903CE4AE9,124.901,-18.075,1,Cevin Fisher,Music Saved My Life,happy,100,Happy House
TRAEQWU12903CAFC4E,128.04,-8.597,1,Tiga,Beep Beep Beep,happy,50,happy
TRAERXQ128F4294114,99.034,-8.742,1,Peter Bradley Adams,Unreconciled,sad,100,sad
TRAESNR128F428DAC9,154.439,-6.256,1,Criteria,The Life,sad,100,Saddle Creek
TRAESYL128F92F9AE5,117.119,-8.656,1,The Chap & Vincent Oliver,Auto Where To,sad,50,the saddest music in the world
TRAEUPC128F423CCAC,121.564,-17.534,1,American Music Club,Miracle On 8th Street,sad,100,sadcore
TRAFBSH128F93549D9,90.039,-8.029,0,Goloka,Sleepless In Warsaw (Late Night Re-Work),sleep,50,Sleepless in warsaw
TRAFCDN128F425C108,153.421,-16.532,1,Tuck & Patti,Sukiyaki,sad,50,sad
TRAFDIU128F145CB16,78.86,-20.293,1,Jon Lord,Sunrise,relax,50,relaxing
TRAFEJV128F4213962,131.545,-10.021,0,Panteón Rococó,La Distancia,happy,66,happy
TRAFETM128F149C4E6,137.991,-7.087,1,Sleeping At Last,Slowly_ Now,sad,100,sad
TRAFEZC128F933697E,93.422,-14.414,1,Hello Stranger,We Used To Talk,sad,100,sad
TRAFIRF128F428AB86,113.235,-8.522,1,Pure Prairie League,She Darked The Sun,relax,100,relaxing
TRAFKQX128F1459C39,132.393,-17.97,1,Norman Blake,I Am A Man Of Constant Sorrow,relax,100,relaxing
TRAFLFV128F425AFC2,100.064,-11.004,1,Craig Chaquico,Acoustic Traveler,happy,100,HappyJohnTM
TRAFPDD128F92FBBA6,138.83,-22.645,1,Tom Barabas,More Than Words,relax,100,piano - relaxing
TRAFPIE12903CE8022,120.225,-9.083,1,Moev,Sadistic Years,sad,50,the word sadistic
TRAFQGI128F932EF80,135.971,-12.042,1,Dean & Britta,Knives from Bavaria,relax,100,relaxed
TRAFQJK128F92F5EBE,86.006,-12.008,0,Zeca Baleiro,Blues Do Elevador,sad,100,ousada
TRAFRQM128F42930DE,130.38,-7.348,1,Cursive,Retreat! (Album version),sad,50,Saddle Creek
TRAFSAN128F42759C6,96.443,-21.065,1,Faunts,Gone With The Day,relax,66,relaxing
TRAFVWY128F4284B7C,170.014,-4.699,0,Uniting Nations,Out of Touch (UFO Remix),happy,100,happy hardcore
TRAFXSP128F1486DF7,160.054,-3.231,1,Sleepy Brown,I'm Soul,sleep,100,sleep brown im soul
TRAFXVL128EF34E0EF,98.895,-12.563,1,The Idle Race,Lucky Man,relax,100,relax
TRAFYSR128F422A7BE,145.089,-8.213,1,Richmond Fontaine,Polaroid,sad,60,sad
TRAGCHP128E078BF1C,43.004,-29.905,0,Wojciech Kilar,Choralvorspiel,sad,50,sad
TRAGJGR128E078FE0C,121.964,-8.321,0,Freak Power,New Direction,relax,100,relax
TRAGJVN12903CE2E5C,102.938,-16.812,0,Palm Skin Productions,Beethoven Street,relax,100,Relaxing Instrumental
TRAGLGL128F4280C30,94.864,-13.846,1,Chris Isaak,The End Of Everything (LP Version),sad,50,beautiful sad
TRAGQAZ128F42BB9B5,152.019,-5.254,1,The Dykeenies,Waiting For Go,happy,100,happy
TRAGQIE128F92D4326,123.918,-6.753,1,India.Arie,Long Goodbye,sad,50,sad
TRAGQLB128F422AB83,91.548,-13.143,0,Orquesta Aragon,Eso No Tiene Remedio,happy,50,happy
TRAGTGD128F42343FF,90.42,-10.469,0,George Benson,This Masquerade (Edit),sad,50,sad
TRAGWIH128F9332425,121.657,-10.342,1,Hjaltalín,Pú Komst Við Hjartað í Mér,sleep,100,sleepdrunk
