track_id,genre
TRMAAAI128F931B75D,Pop_Rock
TRMAAAM128F426F0CA,Pop_Rock
TRMAAAN128F931D275,Pop_Rock
TRMAABO128F92F1DDE,Pop_Rock
TRMAACA128F426D57E,Pop_Rock
TRMAACY128F92D8195,Pop_Rock
TRMAADA128F932AB4C,Electronic
TRMAAEF128F4296A58,Pop_Rock
TRMAAFB128F42282FD,RnB
TRMAAFD128F42B4CE3,Pop_Rock
TRMAAFL128F42458CC,Pop_Rock
TRMAAGA128F92DB8C7,Pop_Rock
TRMAAGD128F428144B,Pop_Rock
TRMAAHD128F427AAF5,Pop_Rock
TRMAAHK128F9314E18,Country
TRMAAJN128EF34F602,Latin
TRMAAJP128F92DDEC8,Pop_Rock
TRMAAJS128F93111F5,Pop_Rock
TRMAAKB128F4238456,Pop_Rock
TRMAAKX128F42619B3,Electronic
TRMAAME128F425D8F0,Pop_Rock
TRMAANU128F429B10F,Pop_Rock
TRMAAOP128F931F879,Electronic
TRMAAPK128E07844B2,Pop_Rock
TRMAAQD128F93591A7,Country
TRMAAQR128F428A220,Country
TRMAARK128F9317070,Jazz
TRMAAST128F1469F2A,International
TRMAATE128EF35BE61,Pop_Rock
TRMAAXD128F428CB2C,Pop_Rock
TRMAAXP128F145C995,Pop_Rock
TRMAAXT128F931DF2E,Pop_Rock
TRMAAXX128F42B8513,Latin
TRMAAZC12903D03FBB,Country
TRMABAB12903CDB421,Pop_Rock
TRMABBX128F9341184,Folk
TRMABCG128F14A534D,Pop_Rock
TRMABCO128F42927A1,Folk
TRMABDB128F42644C7,Pop_Rock
TRMABFN128E0799505,RnB
TRMABFS12903CA9D0E,Pop_Rock
TRMABGM128EF367159,Pop_Rock
TRMABGS128F9330324,Pop_Rock
TRMABHK128F146614E,Pop_Rock
TRMABIF128F9308692,Pop_Rock
TRMABJN128F4270CD7,Rap
TRMABJP128F93120BA,Electronic
TRMABJT128F92F029B,Pop_Rock
TRMABKI128F14668D7,Pop_Rock
TRMABLS128F933F81C,Pop_Rock
TRMABNY12903CB521F,Electronic
TRMABQN128E078C7CD,Pop_Rock
TRMABQP128F14A7B7F,Electronic
TRMABRC128F930A29C,Jazz
TRMABSL128F422DA77,Pop_Rock
TRMABUP128F425C386,Pop_Rock
TRMABWN128F92FF426,Country
TRMABWU128F425C225,Pop_Rock
TRMABWW12903C9B1EA,Pop_Rock
TRMABXJ128F933EA63,Pop_Rock
TRMABXU128F4299447,Electronic
TRMABYX128F422F7EB,Pop_Rock
TRMABZT12903D04059,Electronic
TRMACAB128F42883AE,Jazz
TRMACAE128F9306A12,Latin
TRMACAP128F9326E38,Pop_Rock
TRMACBA128F42644FA,Pop_Rock
TRMACBY128F428C2D5,Pop_Rock
TRMACFN12903CF50B3,International
TRMACLX128F9315EDC,Pop_Rock
TRMACNS128F426E06E,Pop_Rock
TRMACPE12903CB64CA,Pop_Rock
TRMACPG128F42910D8,Pop_Rock
TRMACSC12903CC480E,Pop_Rock
TRMACTH128F9313213,Jazz
TRMACUU128F422117D,Pop_Rock
TRMACXS12903CDB729,Pop_Rock
TRMACZD128F424577A,Pop_Rock
TRMACZK128F92E6478,Rap
TRMACZQ128F4221DEB,Pop_Rock
TRMACZZ128F423D70C,Pop_Rock
TRMADBK128F4270FCB,Pop_Rock
TRMADCP12903CDF8AF,Pop_Rock
TRMADGK128F9313A40,Pop_Rock
TRMADHI128F932E8E1,Rap
TRMADII128F93330FE,Rap
TRMADIJ128E078A313,Blues
TRMADIM128F4272E41,Pop_Rock
TRMADJM128F4250FA8,Pop_Rock
TRMADMU128F42A56D7,Jazz
TRMADOY128F4270BD4,Vocal
TRMADPJ128F42938D9,Pop_Rock
TRMADRF128E07937C9,Pop_Rock
TRMADUS128F4274F2F,Pop_Rock
TRMADUX128F428C1EC,Rap
TRMADZH128F14A0C8F,Pop_Rock
TRMAEBR128F4283CD7,International
TRMAEDC128E078184C,Pop_Rock
TRMAEDK128F92F81FA,Jazz
TRMAEFN128F42730DA,Pop_Rock
TRMAEKF128F4213D0B,Folk
TRMAEMF128F425C448,Latin
TRMAEMM128F933675D,Reggae
TRMAENF128F4299546,Latin
TRMAENR128EF35EB74,Pop_Rock
TRMAENR128F423C16D,RnB
TRMAENT128EF34F59D,Pop_Rock
TRMAEOV12903D0FCEE,Reggae
TRMAEQF128F425F1A2,Pop_Rock
TRMAESG128F4288928,Rap
TRMAETE128E079387C,Pop_Rock
TRMAEUV128F93145E3,Pop_Rock
TRMAEVH128F428647D,Pop_Rock
