track_id,tag_name,weight
TRMAHBW12903CF59A8,happy,50
TRMAHVO128F92FDBD8,happy,100
TRMAODG128F92E4F28,happy,100
TRMAUZT128F4229F0B,happy,66
TRMBGKU128F934049C,happy,100
TRMBQGR12903CAFFBC,happy,100
TRMBUKW12903CB4165,happy,100
TRMCAOD12903CB4A30,happy,100
TRMCFLR128F92F34FC,happy,100
TRMCLAC128F427F006,happy,50
TRMCUJB128F147A2AE,happy,100
TRMCUOT128F4285DD1,happy,100
TRMDHBL128F9321974,happy,100
TRMDSEB128F92DA530,happy,100
TRMDXOO128F934D291,happy,50
TRMEBCV128F425B65A,happy,50
TRMEFLU128F932292A,happy,100
TRMEFOP128F4282135,happy,50
TRMFFRW128F426F1CD,happy,100
TRMFJVI128F4292A5C,happy,50
TRMFORS128F92EFE1D,happy,66
TRMFRNL128F148C236,happy,50
TRMFVCA128F14995BD,happy,50
TRMGRWR128F429285C,happy,100
TRMGRXM12903CD78D3,happy,50
TRMHAQC128F42710C9,happy,100
TRMHRCK128F424C1FC,happy,100
TRMHRMG128F9339D79,happy,100
TRMHUPX128F4286774,happy,55
TRMINQZ128E0785BCB,happy,100
TRMJECJ128F4259E76,happy,100
TRMJNJY128F1456B97,happy,100
TRMJOFB128F93458C4,happy,100
TRMJSJW128F1464689,happy,100
TRMJUFW128F1455BD8,happy,100
TRMKUKB128F428BA89,happy,50
TRMKUUY128F426B465,happy,100
TRMLEIB128F4261621,happy,100
TRMLZPR128F932A4C8,happy,50
TRMMEVV128F149F2B3,happy,72
TRMMVCF128F92E32AF,happy,100
TRMNCGL128F934FC11,happy,50
TRMNCJK128F92DF510,happy,50
TRMNZMZ128F428ED87,happy,100
TRMOASG12903CFF071,happy,100
TRMOVPM128E07825D8,happy,100
TRMPPYI128F1498522,happy,50
TRMPZLM128F429FBFB,happy,100
TRMQBIX128F931B104,happy,100
TRMQJUK128F1478E5A,happy,100
TRMQJWY128F4259D9A,happy,50
TRMRELT128F92DFFF3,happy,100
TRMSDNT128F92CDE81,happy,100
TRMTCBF128F93308BE,happy,50
TRMTSLF128EF33E98E,happy,100
TRMTTYD128F9309050,happy,50
TRMTXTW128F1474542,happy,100
TRMUAEC128F931DAF4,happy,75
TRMUDRW128F935151F,happy,100
TRMUNXV128F933A373,happy,100
TRMURHV128F92E9D34,happy,50
TRMVAOT128F92F7C8D,happy,78
TRMVFXN128F92D0998,happy,50
TRMXIAT128F14A92D3,happy,50
TRMXJCA128F4239CD2,happy,80
TRMXKWF128F92D528A,happy,50
TRMXLRW12903CFB070,happy,50
TRMXVDL128F1494290,happy,100
TRMXVQO128E0789A2C,happy,50
TRMXXVQ128F42A9057,happy,100
TRMYBUC128F4274D9F,happy,50
TRMYNUJ128F421CA2D,happy,50
TRMYQLE128F92CD39A,happy,100
TRMYRJI128F428721F,happy,50
TRMYRTB128F42A8110,happy,100
TRMYWSI128F425400B,happy,100
TRMZPXC128F4296D61,happy,100
TRMZXLI128F423ED31,happy,100
TRMAPGE128F9311E87,happy,100
TRMBUML128F92F790F,happy,100
TRMBYHR128F9308EF0,happy,50
TRMFCWJ128F9301774,happy,100
TRMHYPA128F42966EE,happy,100
TRMJDLH12903CA7E5A,happy,100
TRMJPRC128E0798512,happy,52
TRMJRIO128F4252055,happy,50
TRMNKAP128F4257A26,happy,100
TRMQGWL128F428A75E,happy,100
TRMSYOZ128F93205EB,happy,100
TRMBEVQ128F92FD82A,sad,100
TRMBHGL128F42AE99C,sad,60
TRMBHZO128F42AB368,sad,100
TRMBITG128F42A904B,sad,50
TRMBTVD128EF34046A,sad,50
TRMCDKY128F42603EB,sad,50
TRMCEKS128F9318013,sad,100
TRMCJGU128E0791C67,sad,100
TRMCKRR128F4244361,sad,50
TRMCQTL128F93391E2,sad,50
TRMCTLG128F1495C33,sad,63
TRMCVBY128F932A734,sad,50
TRMCVVH128F14B0C94,sad,50
TRMCYUT128F4259E78,sad,57
TRMDAJT12903C9953D,sad,100
TRMDRYU128F931179A,sad,50
TRMDYWQ128F9311CC1,sad,50
